Time,Source,Destination,Protocol,Length
0,34.128.9.170,172.30.1.7,TLSv1.2,131
0.00018,172.30.1.7,34.128.9.170,TCP,66
0.000691,172.30.1.7,34.128.9.170,TLSv1.2,131
0.010679,34.128.9.170,172.30.1.7,TLSv1.2,105
0.010842,172.30.1.7,34.128.9.170,TCP,66
5.759188,172.30.1.7,162.159.196.66,UDP,83
5.769931,162.159.196.66,172.30.1.7,UDP,73
6.111908,172.30.1.7,13.248.151.210,TLSv1.2,108
6.112772,172.30.1.7,34.120.195.249,UDP,78
6.112802,172.30.1.7,34.120.195.249,UDP,89
6.114597,172.30.1.7,34.120.195.249,UDP,480
6.115471,172.30.1.7,13.248.151.210,TCP,78
6.145261,172.30.1.7,13.248.151.210,TLSv1.2,112
6.145398,172.30.1.7,13.248.151.210,TLSv1.2,97
6.145534,172.30.1.7,13.248.151.210,TCP,66
6.148641,104.18.39.21,172.30.1.7,TLSv1.2,90
6.14878,172.30.1.7,104.18.39.21,TCP,66
6.148821,172.30.1.7,104.18.39.21,TLSv1.2,94
6.174746,34.120.195.249,172.30.1.7,UDP,75
6.174747,104.18.39.21,172.30.1.7,TCP,66
6.186018,34.120.195.249,172.30.1.7,UDP,112
6.186108,172.30.1.7,34.120.195.249,UDP,75
6.186186,172.30.1.7,34.120.195.249,UDP,73
6.192971,34.120.195.249,172.30.1.7,UDP,71
6.22143,13.248.151.210,172.30.1.7,TCP,66
6.22347,13.248.151.210,172.30.1.7,TCP,66
6.223471,13.248.151.210,172.30.1.7,TCP,66
6.223581,172.30.1.7,13.248.151.210,TCP,66
6.234488,13.248.151.210,172.30.1.7,TCP,74
6.23484,172.30.1.7,13.248.151.210,TCP,66
6.23485,172.30.1.7,13.248.151.210,TCP,1514
6.234851,172.30.1.7,13.248.151.210,TLSv1.2,170
6.291371,172.30.1.7,34.120.195.249,UDP,93
6.291642,172.30.1.7,34.120.195.249,UDP,463
6.298915,34.120.195.249,172.30.1.7,UDP,75
6.329084,172.30.1.7,34.120.195.249,UDP,75
6.330922,13.248.151.210,172.30.1.7,TCP,66
6.330924,13.248.151.210,172.30.1.7,TLSv1.2,1514
6.330925,13.248.151.210,172.30.1.7,TCP,1514
6.330927,13.248.151.210,172.30.1.7,TLSv1.2,1514
6.330928,13.248.151.210,172.30.1.7,TLSv1.2,159
6.331105,172.30.1.7,13.248.151.210,TCP,66
6.331106,172.30.1.7,13.248.151.210,TCP,66
6.332844,172.30.1.7,13.248.151.210,TLSv1.2,192
6.341956,34.120.195.249,172.30.1.7,UDP,83
6.342105,172.30.1.7,34.120.195.249,UDP,80
6.353043,34.120.195.249,172.30.1.7,UDP,71
6.421848,13.248.151.210,172.30.1.7,TCP,66
6.42185,13.248.151.210,172.30.1.7,TLSv1.2,117
6.42185,13.248.151.210,172.30.1.7,TLSv1.2,135
6.422137,172.30.1.7,13.248.151.210,TCP,66
6.422348,172.30.1.7,13.248.151.210,TLSv1.2,988
6.422373,172.30.1.7,13.248.151.210,TLSv1.2,104
6.511202,13.248.151.210,172.30.1.7,TCP,66
6.511203,13.248.151.210,172.30.1.7,TLSv1.2,104
6.511322,172.30.1.7,13.248.151.210,TCP,66
6.672675,13.248.151.210,172.30.1.7,TLSv1.2,1125
6.672676,13.248.151.210,172.30.1.7,TCP,1514
6.672677,13.248.151.210,172.30.1.7,TCP,1514
6.672678,13.248.151.210,172.30.1.7,TCP,1514
6.672679,13.248.151.210,172.30.1.7,TCP,1514
6.67268,13.248.151.210,172.30.1.7,TCP,1514
6.672681,13.248.151.210,172.30.1.7,TCP,1514
6.672682,13.248.151.210,172.30.1.7,TCP,1514
6.672683,13.248.151.210,172.30.1.7,TCP,1514
6.672684,13.248.151.210,172.30.1.7,TCP,1514
6.672684,13.248.151.210,172.30.1.7,TCP,1514
6.67291,172.30.1.7,13.248.151.210,TCP,66
6.672913,172.30.1.7,13.248.151.210,TCP,66
6.774681,13.248.151.210,172.30.1.7,TCP,1514
6.774682,13.248.151.210,172.30.1.7,TLSv1.2,1514
6.774683,13.248.151.210,172.30.1.7,TCP,1514
6.774684,13.248.151.210,172.30.1.7,TCP,1514
6.774685,13.248.151.210,172.30.1.7,TLSv1.2,1514
