Interval,pkt_count,len_mean,len_std,len_max,DNS,HTTP,ICMP,MDNS,QUIC,SSLv2,TCP,TLSv1.2,TLSv1.3,UDP,tcp_ratio,udp_ratio
0,251,925.4980079681275,695.3344022813889,1514,0,0,0,0,0,0,185,49,0,17,0.7370517928286853,0.06772908366533864
1,2825,976.2732743362832,669.3921593294515,1514,78,2,0,0,24,0,1790,216,644,71,0.6336283185840708,0.025132743362831857
2,7266,1077.8366363886596,637.6741131771752,1514,76,0,0,0,36,8,5210,139,1795,2,0.7170382603908615,0.0002752546105147261
3,63,129.57142857142858,258.6472073697768,1514,0,0,0,0,0,0,47,11,5,0,0.746031746031746,0.0
4,1374,752.32096069869,694.4995197968504,1514,12,0,12,0,30,0,1049,77,193,1,0.7634643377001455,0.000727802037845706
5,1704,952.4542253521126,663.0310523738424,1514,26,0,0,10,66,0,1386,111,97,8,0.8133802816901409,0.004694835680751174
6,360,368.68333333333334,510.502668604005,1514,0,0,0,1,20,0,179,74,66,20,0.49722222222222223,0.05555555555555555
7,243,608.1069958847737,670.3745074509555,1514,12,0,0,0,10,0,153,24,33,11,0.6296296296296297,0.04526748971193416
8,237,312.8945147679325,489.67697049778275,1514,4,0,0,0,0,0,140,11,82,0,0.5907172995780591,0.0
9,25,77.44,20.330764865100384,131,0,0,0,0,2,0,17,6,0,0,0.68,0.0
10,254,896.2598425196851,702.130363137431,1514,4,0,0,7,1,2,180,2,58,0,0.7086614173228346,0.0
11,20,470.3,528.1338646095026,1292,0,0,0,2,16,0,2,0,0,0,0.1,0.0
12,137,1029.941605839416,676.6989160887118,1514,0,0,0,0,0,0,113,4,20,0,0.8248175182481752,0.0
13,38,86.3157894736842,78.44815994023399,540,0,0,0,0,0,0,26,3,9,0,0.6842105263157895,0.0
14,193,666.7927461139897,670.3977042190007,1490,4,0,0,0,0,0,80,31,77,1,0.41450777202072536,0.0051813471502590676
15,59,734.0677966101695,700.935971900203,1514,4,0,0,0,0,0,40,2,13,0,0.6779661016949152,0.0
16,65,289.8615384615385,496.9588412573481,1514,4,0,0,0,0,0,39,2,20,0,0.6,0.0
17,81,757.9629629629629,690.983437653256,1514,4,0,0,0,16,0,47,0,14,0,0.5802469135802469,0.0
18,9,101.44444444444444,44.51997055005515,210,0,0,0,2,0,0,3,4,0,0,0.3333333333333333,0.0
19,247,737.5587044534414,684.1940927099034,1514,10,0,0,0,36,0,155,32,14,0,0.6275303643724697,0.0
20,153,437.6732026143791,565.5946082857514,1514,4,0,0,0,0,0,91,30,28,0,0.5947712418300654,0.0
21,154,668.1623376623377,653.8119842348717,1514,8,0,0,0,0,0,98,35,13,0,0.6363636363636364,0.0
22,269,142.40520446096653,202.38481921191467,1454,0,0,0,0,0,0,125,140,4,0,0.4646840148698885,0.0
23,857,150.32322053675614,247.75794985196666,1514,0,0,0,0,18,0,394,433,12,0,0.4597432905484247,0.0
24,325,238.89538461538461,392.1434939993775,1454,0,0,0,0,0,0,167,158,0,0,0.5138461538461538,0.0
25,104,721.1153846153846,696.1387584549159,1514,2,0,0,0,0,0,71,3,28,0,0.6826923076923077,0.0
26,180,711.85,697.5108935694442,1514,8,0,0,0,0,0,132,21,19,0,0.7333333333333333,0.0
